iter	Passed	Remaining
0	2	2907
1	6	3057
2	9	3231
3	16	4067
4	19	3795
5	21	3632
6	27	3853
7	31	3883
8	34	3805
9	37	3695
10	40	3660
11	46	3845
12	49	3770
13	52	3727
14	56	3695
15	62	3816
16	65	3781
17	68	3732
18	72	3751
19	78	3827
20	82	3830
21	85	3803
22	91	3869
23	94	3859
24	97	3804
25	100	3758
26	103	3731
27	108	3778
28	111	3741
29	114	3693
30	117	3664
31	121	3689
32	125	3690
33	128	3648
34	130	3607
35	133	3586
36	140	3653
37	143	3632
38	146	3618
39	151	3633
40	156	3660
41	159	3630
42	161	3598
43	165	3586
44	171	3638
45	175	3630
46	177	3603
47	180	3582
48	188	3665
49	191	3641
50	194	3617
51	198	3622
52	203	3637
53	206	3610
54	209	3600
55	214	3622
56	219	3631
57	222	3620
58	233	3725
59	237	3717
60	241	3711
61	247	3751
62	250	3726
63	253	3700
64	256	3691
65	263	3729
66	269	3754
67	276	3795
68	281	3792
69	284	3781
70	288	3768
71	295	3812
72	298	3792
73	301	3768
74	305	3764
75	309	3766
76	313	3757
77	316	3736
78	319	3726
79	326	3752
80	328	3731
81	331	3714
82	336	3722
83	342	3740
84	345	3722
85	349	3710
86	355	3725
87	358	3714
88	361	3702
89	364	3686
90	370	3702
91	374	3691
92	378	3688
93	390	3761
94	393	3747
95	407	3833
96	410	3823
97	419	3859
98	430	3919
99	440	3964
100	446	3974
101	452	3982
102	455	3966
103	465	4011
104	470	4008
105	473	3996
106	485	4048
107	491	4062
108	498	4076
109	502	4066
110	511	4092
111	516	4094
112	520	4082
113	529	4111
114	532	4096
115	536	4084
116	541	4084
117	546	4085
118	549	4064
119	554	4067
120	558	4060
121	561	4043
122	564	4026
123	571	4038
124	575	4027
125	578	4009
126	582	4001
127	586	3995
128	589	3981
129	592	3967
130	600	3985
131	603	3971
132	606	3954
133	609	3937
134	616	3949
135	619	3937
136	622	3921
137	627	3920
138	633	3924
139	636	3910
140	639	3893
141	644	3896
142	648	3888
143	652	3881
144	656	3871
145	663	3879
146	666	3867
147	669	3851
148	674	3851
149	678	3844
150	681	3834
151	684	3818
152	687	3805
153	693	3810
154	696	3797
155	699	3784
156	702	3770
157	706	3766
158	712	3769
159	715	3754
160	718	3744
161	724	3748
162	728	3738
163	730	3724
164	733	3709
165	738	3710
166	742	3703
167	745	3690
168	747	3677
169	751	3667
170	759	3680
171	762	3668
172	765	3657
173	769	3653
174	773	3647
175	776	3635
176	778	3622
177	782	3613
178	790	3623
179	793	3613
180	796	3603
181	801	3603
182	805	3596
183	808	3587
184	814	3586
185	821	3594
186	823	3582
187	831	3589
188	836	3587
189	839	3580
190	852	3608
191	856	3605
192	865	3620
193	871	3621
194	877	3620
195	883	3625
196	893	3642
197	897	3633
198	900	3624
199	906	3627
200	913	3629
201	915	3617
202	921	3617
203	927	3619
204	931	3613
205	938	3616
206	942	3610
207	945	3599
208	950	3598
209	957	3600
210	960	3590
211	963	3579
212	969	3582
213	973	3574
214	976	3564
215	979	3555
216	988	3566
217	991	3557
218	995	3550
219	1005	3566
220	1009	3558
221	1016	3560
222	1022	3563
223	1026	3554
224	1031	3553
225	1035	3547
226	1038	3536
227	1041	3526
228	1046	3521
229	1050	3517
230	1053	3506
231	1055	3495
232	1058	3485
233	1065	3487
234	1068	3476
235	1071	3467
236	1074	3460
237	1080	3457
238	1083	3450
239	1086	3441
240	1091	3437
241	1096	3435
242	1101	3432
243	1106	3427
244	1112	3428
245	1116	3420
246	1118	3411
247	1128	3421
248	1132	3416
249	1142	3427
250	1146	3419
251	1149	3410
252	1156	3415
253	1162	3412
254	1165	3404
255	1171	3404
256	1176	3402
257	1180	3395
258	1187	3398
259	1192	3395
260	1198	3392
261	1205	3394
262	1208	3386
263	1211	3378
264	1281	3555
265	1286	3549
266	1293	3552
267	1298	3545
268	1302	3539
269	1313	3552
270	1316	3541
271	1318	3530
272	1322	3522
273	1328	3518
274	1330	3508
275	1333	3498
276	1338	3494
277	1343	3488
278	1345	3477
279	1348	3466
280	1352	3460
281	1361	3466
282	1365	3459
283	1381	3483
284	1394	3497
285	1399	3494
286	1408	3498
287	1413	3494
288	1423	3502
289	1430	3502
290	1442	3513
291	1451	3520
292	1456	3515
293	1466	3521
294	1473	3522
295	1481	3523
296	1486	3517
297	1489	3509
298	1498	3514
299	1505	3511
300	1511	3509
301	1517	3507
302	1522	3501
303	1531	3507
304	1535	3499
305	1540	3494
306	1548	3494
307	1551	3485
308	1555	3478
309	1564	3483
310	1569	3476
311	1575	3475
312	1580	3468
313	1585	3462
314	1591	3460
315	1595	3454
316	1602	3453
317	1609	3451
318	1616	3450
319	1624	3452
320	1631	3451
321	1640	3454
322	1645	3449
323	1654	3452
324	1671	3471
325	1696	3507
326	1707	3514
327	1718	3521
328	1724	3517
329	1734	3521
330	1738	3513
331	1752	3525
332	1761	3527
333	1766	3521
334	1773	3519
335	1780	3517
336	1785	3512
337	1792	3510
338	1797	3505
339	1808	3510
340	1812	3502
341	1820	3502
342	1829	3504
343	1840	3509
344	1845	3503
345	1852	3500
346	1855	3492
347	1858	3481
348	1861	3471
349	1869	3472
350	1874	3465
351	1877	3455
352	1884	3454
353	1887	3444
354	1890	3435
355	1895	3429
356	1901	3424
357	1904	3415
358	1908	3408
359	1915	3404
360	1919	3397
361	1922	3388
362	1928	3384
363	1932	3376
364	1934	3366
365	1938	3357
366	1941	3348
367	1947	3345
368	1950	3335
369	1953	3325
370	1958	3320
371	1962	3313
372	1966	3304
373	1968	3294
374	1971	3286
375	1978	3283
376	1982	3275
377	1985	3267
378	1989	3260
379	1995	3255
380	1998	3247
381	2004	3243
382	2011	3240
383	2014	3230
384	2017	3222
385	2026	3222
386	2031	3217
387	2041	3220
388	2045	3212
389	2049	3206
390	2058	3205
391	2061	3197
392	2065	3190
393	2072	3187
394	2075	3179
395	2080	3173
396	2088	3172
397	2093	3166
398	2101	3165
399	2105	3157
400	2109	3150
401	2120	3154
402	2125	3149
403	2134	3149
404	2137	3140
405	2140	3132
406	2148	3130
407	2152	3123
408	2155	3114
409	2158	3106
410	2163	3101
411	2167	3093
412	2171	3086
413	2176	3080
414	2180	3074
415	2184	3066
416	2188	3060
417	2195	3056
418	2200	3051
419	2203	3042
420	2209	3038
421	2212	3030
422	2215	3022
423	2218	3013
424	2229	3016
425	2232	3008
426	2236	3000
427	2241	2995
428	2244	2987
429	2247	2978
430	2249	2970
431	2255	2965
432	2258	2958
433	2262	2950
434	2266	2943
435	2276	2944
436	2281	2939
437	2287	2934
438	2290	2927
439	2293	2918
440	2296	2911
441	2303	2908
442	2306	2899
443	2309	2891
444	2312	2884
445	2318	2879
446	2321	2871
447	2323	2862
448	2327	2856
449	2334	2852
450	2337	2845
451	2340	2837
452	2343	2829
453	2348	2824
454	2351	2817
455	2355	2809
456	2359	2803
457	2366	2800
458	2369	2792
459	2373	2785
460	2379	2782
461	2385	2777
462	2388	2770
463	2394	2766
464	2398	2759
465	2401	2752
466	2405	2745
467	2411	2741
468	2415	2735
469	2418	2727
470	2423	2722
471	2428	2716
472	2431	2708
473	2433	2700
474	2436	2692
475	2442	2689
476	2445	2681
477	2448	2673
478	2451	2666
479	2455	2660
480	2460	2655
481	2463	2647
482	2466	2639
483	2473	2636
484	2476	2630
485	2479	2622
486	2482	2615
487	2489	2611
488	2492	2604
489	2494	2596
490	2497	2588
491	2501	2583
492	2506	2577
493	2509	2570
494	2512	2563
495	2516	2557
496	2520	2550
497	2523	2543
498	2525	2536
499	2529	2529
500	2535	2524
501	2537	2517
502	2540	2510
503	2544	2504
504	2551	2501
505	2554	2493
506	2557	2486
507	2567	2486
508	2570	2479
509	2573	2472
510	2579	2468
511	2584	2462
512	2587	2456
513	2591	2450
514	2597	2446
515	2600	2439
516	2603	2432
517	2607	2425
518	2612	2421
519	2615	2414
520	2618	2407
521	2620	2399
522	2623	2393
523	2629	2388
524	2632	2381
525	2635	2374
526	2638	2368
527	2644	2363
528	2647	2357
529	2649	2349
530	2653	2343
531	2659	2339
532	2663	2333
533	2666	2326
534	2669	2319
535	2676	2317
536	2679	2310
537	2682	2303
538	2685	2297
539	2692	2293
540	2694	2286
541	2697	2279
542	2700	2273
543	2707	2269
544	2711	2263
545	2713	2256
546	2717	2250
547	2723	2246
548	2726	2239
549	2730	2233
550	2737	2230
551	2741	2225
552	2744	2218
553	2750	2214
554	2755	2209
555	2758	2202
556	2760	2195
557	2769	2193
558	2772	2187
559	2776	2181
560	2781	2176
561	2787	2172
562	2790	2166
563	2795	2160
564	2799	2155
565	2802	2149
566	2805	2142
567	2809	2136
568	2814	2132
569	2817	2125
570	2820	2119
571	2826	2115
572	2831	2110
573	2834	2103
574	2837	2097
575	2841	2091
576	2847	2087
577	2849	2080
578	2852	2074
579	2855	2068
580	2863	2064
581	2865	2058
582	2869	2052
583	2872	2046
584	2878	2042
585	2881	2035
586	2883	2028
587	2889	2024
588	2893	2018
589	2896	2012
590	2899	2006
591	2902	2000
592	2908	1995
593	2910	1989
594	2913	1983
595	2916	1976
596	2920	1971
597	2925	1966
598	2928	1960
599	2930	1953
600	2935	1948
601	2940	1944
602	2943	1937
603	2946	1931
604	2949	1925
605	2957	1922
606	2960	1916
607	2963	1910
608	2970	1907
609	2974	1901
610	2980	1897
611	2987	1893
612	2991	1888
613	2995	1883
614	3001	1879
615	3004	1873
616	3008	1867
617	3012	1862
618	3017	1857
619	3020	1851
620	3023	1845
621	3027	1840
622	3033	1835
623	3037	1830
624	3040	1824
625	3046	1820
626	3050	1814
627	3053	1809
628	3057	1803
629	3064	1799
630	3067	1794
631	3071	1788
632	3076	1783
633	3081	1778
634	3084	1772
635	3087	1767
636	3094	1763
637	3097	1757
638	3101	1752
639	3106	1747
640	3111	1742
641	3114	1736
642	3117	1730
643	3123	1726
644	3127	1721
645	3130	1715
646	3134	1709
647	3140	1706
648	3144	1700
649	3147	1694
650	3151	1689
651	3159	1686
652	3162	1680
653	3169	1676
654	3174	1672
655	3178	1666
656	3188	1664
657	3193	1659
658	3199	1655
659	3205	1651
660	3208	1645
661	3214	1641
662	3219	1636
663	3223	1631
664	3226	1625
665	3233	1621
666	3236	1615
667	3240	1610
668	3244	1605
669	3250	1601
670	3254	1595
671	3257	1589
672	3261	1584
673	3267	1580
674	3271	1574
675	3274	1569
676	3279	1564
677	3284	1560
678	3287	1554
679	3290	1548
680	3298	1545
681	3302	1539
682	3305	1534
683	3309	1528
684	3315	1524
685	3318	1519
686	3322	1513
687	3326	1508
688	3332	1504
689	3335	1498
690	3339	1493
691	3347	1489
692	3350	1484
693	3353	1478
694	3361	1475
695	3365	1470
696	3371	1465
697	3378	1461
698	3382	1456
699	3388	1452
700	3393	1447
701	3397	1442
702	3403	1437
703	3408	1433
704	3411	1427
705	3415	1422
706	3422	1418
707	3425	1412
708	3429	1407
709	3435	1403
710	3439	1398
711	3443	1392
712	3447	1387
713	3454	1383
714	3458	1378
715	3462	1373
716	3467	1368
717	3472	1363
718	3475	1358
719	3481	1353
720	3485	1348
721	3489	1343
722	3492	1338
723	3499	1334
724	3503	1328
725	3506	1323
726	3511	1318
727	3516	1313
728	3519	1308
729	3525	1303
